Category: All categories

Month,walmart: (United States)
2004-01,7
2004-02,6
2004-03,7
2004-04,7
2004-05,8
2004-06,9
2004-07,9
2004-08,10
2004-09,9
2004-10,9
2004-11,15
2004-12,18
2005-01,11
2005-02,10
2005-03,10
2005-04,11
2005-05,12
2005-06,13
2005-07,13
2005-08,13
2005-09,12
2005-10,13
2005-11,21
2005-12,22
2006-01,13
2006-02,13
2006-03,13
2006-04,14
2006-05,14
2006-06,15
2006-07,17
2006-08,16
2006-09,16
2006-10,17
2006-11,27
2006-12,29
2007-01,16
2007-02,15
2007-03,16
2007-04,16
2007-05,18
2007-06,20
2007-07,20
2007-08,19
2007-09,18
2007-10,18
2007-11,31
2007-12,33
2008-01,18
2008-02,17
2008-03,19
2008-04,18
2008-05,20
2008-06,23
2008-07,24
2008-08,23
2008-09,21
2008-10,23
2008-11,37
2008-12,45
2009-01,25
2009-02,23
2009-03,24
2009-04,21
2009-05,23
2009-06,25
2009-07,25
2009-08,25
2009-09,25
2009-10,26
2009-11,43
2009-12,44
2010-01,26
2010-02,24
2010-03,24
2010-04,24
2010-05,26
2010-06,26
2010-07,28
2010-08,27
2010-09,26
2010-10,28
2010-11,46
2010-12,48
2011-01,34
2011-02,35
2011-03,32
2011-04,33
2011-05,35
2011-06,37
2011-07,40
2011-08,39
2011-09,36
2011-10,39
2011-11,66
2011-12,63
2012-01,41
2012-02,40
2012-03,38
2012-04,38
2012-05,39
2012-06,42
2012-07,44
2012-08,43
2012-09,42
2012-10,42
2012-11,73
2012-12,70
2013-01,42
2013-02,41
2013-03,42
2013-04,41
2013-05,43
2013-06,45
2013-07,48
2013-08,47
2013-09,45
2013-10,46
2013-11,74
2013-12,76
2014-01,43
2014-02,43
2014-03,42
2014-04,41
2014-05,44
2014-06,47
2014-07,50
2014-08,48
2014-09,45
2014-10,45
2014-11,72
2014-12,76
2015-01,46
2015-02,44
2015-03,44
2015-04,45
2015-05,48
2015-06,51
2015-07,56
2015-08,54
2015-09,48
2015-10,50
2015-11,73
2015-12,74
2016-01,45
2016-02,45
2016-03,46
2016-04,45
2016-05,52
2016-06,53
2016-07,57
2016-08,53
2016-09,50
2016-10,52
2016-11,78
2016-12,79
2017-01,48
2017-02,49
2017-03,50
2017-04,52
2017-05,56
2017-06,60
2017-07,65
2017-08,61
2017-09,53
2017-10,55
2017-11,81
2017-12,81
2018-01,54
2018-02,53
2018-03,54
2018-04,56
2018-05,58
2018-06,60
2018-07,66
2018-08,63
2018-09,56
2018-10,57
2018-11,86
2018-12,88
2019-01,55
2019-02,54
2019-03,57
2019-04,60
2019-05,62
2019-06,65
2019-07,71
2019-08,66
2019-09,59
2019-10,58
2019-11,84
2019-12,86
2020-01,54
2020-02,55
2020-03,75
2020-04,85
2020-05,88
2020-06,81
2020-07,76
2020-08,68
2020-09,63
2020-10,68
2020-11,100
2020-12,93
2021-01,67
2021-02,65
2021-03,66
2021-04,65
2021-05,64
2021-06,63
2021-07,64
2021-08,62
2021-09,57
2021-10,61
2021-11,83
2021-12,79
2022-01,59
2022-02,54
2022-03,54
2022-04,59
